grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto,composto_mais_utilizado,rainfall_ocorreu
4,-1.2911126196275768,23.179000000000002,2,3,17.333333333333332,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
5,-1.2355165510686938,23.072000000000003,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
6,-0.30674846625767804,23.253,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
7,0.18958116104919043,23.6235,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,MEDIUM,0
8,0.0,23.652,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
9,0.2961251427508804,23.685,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
10,0.1130604807065616,23.368000000000002,2,3,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
11,-0.01931157562479191,30.125500000000002,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,SOFT,0
12,0.031941228140230926,23.3395,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
13,0.2558311335444263,23.344,3,3,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,MEDIUM,0
14,-1.1743695205108873,23.004,2,3,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,MEDIUM,0
15,0.11009667024703962,23.110500000000002,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
16,0.23104985812727463,23.0685,2,2,23.666666666666668,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,SOFT,0
17,0.2587935613245884,24.0935,2,2,22.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,SOFT,0
18,1.765346347467811,22.5,3,2,17.75,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,MEDIUM,0
19,2.456822518577939,24.367,4,3,14.0,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,MEDIUM,MEDIUM,0
20,0.04124391264481719,22.77,1,2,35.5,21.016793893129773,46.45343511450379,60.289312977099236,924.7916030534352,1.2877862595419842,SOFT,MEDIUM,0
0,0.06369950012674597,20.7145,4,2,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,MEDIUM,0
1,-1.7181771927306744,20.3775,4,2,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
2,-2.006051776308415,20.319000000000003,4,2,14.2,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,MEDIUM,HARD,0
