grid,ritmo_representativo_pct,duracao_mediana_pit_convencional,qtd_pit_stops,qtd_compostos_distintos,voltas_stint_medio,air_temp_media,track_temp_media,humidity_media,pressure_media,wind_speed_medio,primeiro_composto_HARD,primeiro_composto_INTERMEDIATE,primeiro_composto_MEDIUM,primeiro_composto_SOFT,primeiro_composto_SUPERSOFT,primeiro_composto_None,composto_mais_utilizado_HARD,composto_mais_utilizado_INTERMEDIATE,composto_mais_utilizado_MEDIUM,composto_mais_utilizado_SOFT,composto_mais_utilizado_SUPERSOFT,composto_mais_utilizado_None,rainfall_ocorreu
14.0,0.6074859469967442,17.948,3.0,2.0,11.75,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.5675636706820031,18.499,5.0,2.0,11.666666666666666,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.6834210278702457,20.86,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.9761504271161292,21.911,4.0,2.0,14.0,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.1414176694761857,24.627,5.0,2.0,11.5,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19.0,1.9017178790741052,18.467,3.0,2.0,17.25,23.137341772151892,51.56139240506331,60.10126582278483,926.9303797468358,0.39177215189873377,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7507321432065561,23.635,3.0,2.0,17.5,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-1.1925196494715018,23.500500000000002,2.0,2.0,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,-1.2560600820843537,23.747999999999998,2.0,2.0,23.666666666666668,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,-0.7345905739535863,30.942,3.0,2.0,17.75,23.01077844311378,46.04910179640717,76.07784431137725,922.1604790419151,1.4443113772455085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
